Market Place,Crop Variety,Producer Min,Producer Max,Wholesale Min,Wholesale Max,Retail Min,Retail Max,Volume,Collection Date
Bahir Dar kebele 04,White Teff (Quintal),0,0,2400,2500,2550,2650,Sufficient,5/2/2019
Hawassa ,White Teff (Quintal),0,0,2700,2900,2800,3000,Under,5/6/2019
Humera,White Teff (Quintal),0,0,2800,2900,0,0,Sufficient,5/8/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2450,2550,2550,2700,Sufficient,5/9/2019
Hawassa ,White Teff (Quintal),0,0,2700,2900,2800,3000,Under,5/13/2019
Humera,White Teff (Quintal),0,0,2900,2950,0,0,Under,5/15/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2400,2550,2600,2700,Sufficient,5/16/2019
Hawassa ,White Teff (Quintal),0,0,2700,2900,2800,3000,Under,5/20/2019
Humera,White Teff (Quintal),0,0,2900,3000,0,0,Sufficient,5/22/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2450,2550,2600,2750,Sufficient,5/23/2019
Adama City,White Teff (Quintal),2900,3000,0,0,2900,3000,Sufficient,5/23/2019
Hawassa ,White Teff (Quintal),0,0,2800,3000,2900,3100,Under,5/27/2019
Humera,White Teff (Quintal),0,0,2900,3100,0,0,Sufficient,5/29/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2450,2550,2600,2750,Sufficient,5/30/2019
Adama City,White Teff (Quintal),2900,3000,0,0,2900,3000,Sufficient,5/30/2019
Hawassa ,White Teff (Quintal),0,0,2800,3000,2900,3100,Sufficient,6/3/2019
Humera,White Teff (Quintal),0,0,3000,3100,0,0,Sufficient,6/5/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2500,2600,2600,2800,Sufficient,6/6/2019
Adama City,White Teff (Quintal),0,0,2850,2900,2950,3050,Sufficient,6/6/2019
Humera,White Teff (Quintal),0,0,3100,3200,0,0,Sufficient,6/12/2019
Adama City,White Teff (Quintal),0,0,3000,3050,3080,3100,Sufficient,6/13/2019
Hawassa ,White Teff (Quintal),0,0,2800,3000,2900,3100,Sufficient,6/17/2019
Humera,White Teff (Quintal),0,0,3100,3200,0,0,Sufficient,6/19/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2650,2800,2800,3100,Sufficient,6/20/2019
Adama City,White Teff (Quintal),0,0,2900,2950,3000,3050,Sufficient,6/20/2019
Humera,White Teff (Quintal),0,0,3100,3200,0,0,Sufficient,6/26/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2650,2800,2800,3100,Sufficient,6/27/2019
Adama City,White Teff (Quintal),0,0,2900,2950,3000,3000,Under,6/27/2019
Hawassa ,White Teff (Quintal),0,0,2900,3000,3100,3300,Sufficient,7/1/2019
Humera,White Teff (Quintal),0,0,3200,3300,0,0,Sufficient,7/3/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2650,2800,2800,3100,Sufficient,7/4/2019
Adama City,White Teff (Quintal),0,0,2900,2950,3000,3050,Sufficient,7/4/2019
Hawassa ,White Teff (Quintal),0,0,2800,2900,3100,3200,Sufficient,7/8/2019
Humera,White Teff (Quintal),0,0,3200,3300,0,0,Sufficient,7/10/2019
Bahir Dar kebele 04,White Teff (Quintal),0,0,2650,2800,2800,3100,Sufficient,7/11/2019
Adama City,White Teff (Quintal),0,0,0,0,2900,3000,Sufficient,7/11/2019
Hawassa ,White Teff (Quintal),0,0,2800,2900,3100,3200,Sufficient,7/15/2019
Humera,White Teff (Quintal),0,0,3100,3300,0,0,Sufficient,7/17/2019
